product,call_reason,call_reason_l2,broad_theme_l3,intermediate_theme_l4,granular_theme_l5,exact_problem_statement,digital_friction,key_solution,policy_friction,friction_driver_category
ATT,Payments & Transfers,Auto Pay Issue,Billing,ACH Processing,Refund Not Reflected,Bill pay scheduled for the 15th was processed on the 13th causing an overdraft in the linked checking account.,"Bill pay date picker doesn't clearly indicate processing time (1-3 business days). Calendar UI cuts off on smaller screens.
No confirmation screen showing the exact date funds will be withdrawn from the linked account.","Show fund withdrawal date clearly during bill pay setup. Add processing time tooltip. Fix calendar UI for small screens.
Implement confirmation screen with exact debit date and option to edit before final submission.",No,Information Gap
Rewards,Payments & Transfers,Payment Failed,Payment Processing,Wire Transfer,Bill Pay Scheduling Error,Payment to credit card failed with 'unable to verify account' error when using the mobile app to pay from external bank.,"External bank linking flow fails silently on certain bank integrations. The 'Verify Account' step times out after 30 seconds.
No option to manually enter routing/account numbers as fallback when instant verification fails.","Implement fallback manual account entry when instant verification fails. Extend timeout to 60 seconds.
Cache linked bank details securely so customers don't need to re-verify for subsequent payments.",No,Third-party Dependency
ATT,Fraud & Disputes,Provisional Credit,Fraud Prevention,Fraud Investigation,Card Lock Self-Service Missing,Customer wants to lock their card temporarily while they look for it at home. The app only offers 'Report Lost/Stolen' which permanently cancels the card.,"App only offers permanent card cancellation -- no temporary lock/unlock toggle. Customer must call to place a temporary hold.
The 'Report Lost/Stolen' flow immediately orders a new card and deactivates the current one with no confirmation step.","Add temporary card lock/unlock toggle on the card management screen. Separate from 'Report Lost/Stolen' flow.
Add confirmation step before permanent card cancellation with explanation of the difference.",Yes,Third-party Dependency
AAdvantage,Payments & Transfers,Balance Transfer,Fund Transfer,Wire Transfer,Duplicate Payment Deduction,Balance transfer promotional APR is showing 15.99% instead of the 0% advertised in the mailer customer received.,"Balance transfer flow on mobile doesn't display the promotional APR until after the transfer is submitted. No ability to cancel a pending transfer.
The promo rate terms link opens a PDF that doesn't render properly on mobile devices.","Show promotional APR upfront in the transfer flow before submission. Allow transfer cancellation within 24 hours.
Render promo terms as native HTML instead of PDF for mobile readability.",No,Process Gap
ATT,Payments & Transfers,Balance Transfer,Billing,P2P Payment,Payment Gateway Timeout,Payment to credit card failed with 'unable to verify account' error when using the mobile app to pay from external bank.,"External bank linking flow fails silently on certain bank integrations. The 'Verify Account' step times out after 30 seconds.
No option to manually enter routing/account numbers as fallback when instant verification fails.","Implement fallback manual account entry when instant verification fails. Extend timeout to 60 seconds.
Cache linked bank details securely so customers don't need to re-verify for subsequent payments.",No,Information Gap
Cash,Fraud & Disputes,Fraud Alert,Dispute Resolution,Credit Provisioning,Provisional Credit Delay,Customer got a fraud alert text about a $12 coffee purchase they actually made. Now their card is blocked and they can't unblock it from the app.,"Fraud alerts via SMS have a 'Yes/No' response but responding 'Yes it's me' doesn't auto-unblock the card. Must call to remove the hold.
False positive rate on fraud detection is high for small recurring charges and online subscriptions.","Auto-unblock card immediately when customer confirms 'Yes it's me' on fraud alert. Tune fraud models to reduce false positives.
Allow customers to whitelist recurring merchants and subscription services to prevent false positives.",Yes,Information Gap
Rewards,Authentication & Access,Password Reset,Device Management,Password Management,Biometric Fallback Missing,Face ID stopped working on the app after the latest iOS update. No option to fall back to fingerprint or PIN in the app.,"Biometric authentication has no graceful fallback chain. If Face ID fails there's no option for fingerprint then PIN.
App requires full password re-entry when biometric fails instead of offering simpler alternatives.","Build biometric fallback chain: Face ID -> Fingerprint -> Device PIN -> Password. Implement graceful degradation.
Allow customers to configure preferred biometric method in app settings.",Yes,UI/UX Flaw
Costco,Payments & Transfers,Balance Transfer,Payment Processing,P2P Payment,Auto Pay Enrollment Failure,Payment to credit card failed with 'unable to verify account' error when using the mobile app to pay from external bank.,"External bank linking flow fails silently on certain bank integrations. The 'Verify Account' step times out after 30 seconds.
No option to manually enter routing/account numbers as fallback when instant verification fails.","Implement fallback manual account entry when instant verification fails. Extend timeout to 60 seconds.
Cache linked bank details securely so customers don't need to re-verify for subsequent payments.",No,System Bug/Outage
AAdvantage,Rewards & Loyalty,Redemption Issue,Loyalty Tier,Travel Redemption,Redemption Minimum Too High,"Customer wants to redeem points for a flight but the minimum redemption is 25,000 points and they have 24,500. No option for partial points + cash.","Redemption flow requires minimum 25,000 points with no points+cash option. Available redemption options are buried in a sub-menu.
Travel redemption search is a separate portal that doesn't integrate with the main app experience.","Implement points+cash hybrid redemption for any amount. Surface all redemption options on one clean screen.
Integrate travel search directly into the main app with points value calculator for each option.",Yes,Policy Restriction
Cash,Authentication & Access,Password Reset,Sign On,MFA/OTP,Biometric Fallback Missing,Face ID stopped working on the app after the latest iOS update. No option to fall back to fingerprint or PIN in the app.,"Biometric authentication has no graceful fallback chain. If Face ID fails there's no option for fingerprint then PIN.
App requires full password re-entry when biometric fails instead of offering simpler alternatives.","Build biometric fallback chain: Face ID -> Fingerprint -> Device PIN -> Password. Implement graceful degradation.
Allow customers to configure preferred biometric method in app settings.",Yes,Policy Restriction
