exact_problem_statement,digital_friction,policy_friction,solution_by_ui,solution_by_ops,solution_by_education,solution_by_technology,call_reason,call_reason_l2,broad_theme_l3,intermediate_theme_l4,granular_theme_l5,friction_driver_category
Customer confused about the new billing policy on their last invoice.,None,N/A,Fix responsive layout,Provide better script for agents,Send interactive guide,None,Feature Inquiry,Subscription Cancellation,Account Lifecycle,Mobile App Issues,Android Webview Crash,Restrictive Policy
User wants to cancel subscription but cannot find the button.,Medium,N/A,None,Provide better script for agents,None,Resolve API timeout,Billing/Payments,Export Data,Transaction Processing,Invoice Generation,SMS Gateway Delay,System Bug/Outage
Customer is unable to reset their password via the mobile app.,None,N/A,Make buttons more prominent,Provide better script for agents,None,Optimize database query,Technical Issue,App Crash,Application Stability,MFA/OTP,Hidden Cancellation Flow,User Error/Knowledge Gap
Customer didn't receive the OTP for login authentication.,Medium,N/A,Fix responsive layout,Waive fee,Update FAQ section,Resolve API timeout,Account Management,Subscription Cancellation,Workflow/Usability,Mobile App Issues,Android Webview Crash,Third-party Failure
App crashes immediately upon opening on Android 13.,None,N/A,Add tooltips,Provide better script for agents,None,Fix null pointer exception,Technical Issue,App Crash,Authentication,MFA/OTP,Payment Gateway Timeout,User Error/Knowledge Gap
User mentions the website is too slow when loading reports.,None,N/A,Simplify navigation menu,None,Send interactive guide,Fix timezone bug,Billing/Payments,Double Charge,Authentication,Reporting/Analytics,Android Webview Crash,UI/UX Flaw
Customer didn't receive the OTP for login authentication.,Medium,Yes,Simplify navigation menu,Manual refund processing,Send interactive guide,None,Technical Issue,Password Reset,Authentication,Subscription Management,Android Webview Crash,User Error/Knowledge Gap
User cannot find the 'Export Data' option in the new interface.,High,N/A,None,Escalate to L2 faster,Send interactive guide,None,Account Management,Export Data,Workflow/Usability,Invoice Generation,SMS Gateway Delay,System Bug/Outage
Customer didn't receive the OTP for login authentication.,Medium,N/A,Simplify navigation menu,Manual refund processing,Email newsletter tip,None,Technical Issue,Subscription Cancellation,Transaction Processing,Subscription Management,Payment Gateway Timeout,Third-party Failure
Customer confused about the new billing policy on their last invoice.,Low,No,Make buttons more prominent,Escalate to L2 faster,None,None,Login/Access,App Crash,Application Stability,Reporting/Analytics,CSV Export Broken,System Bug/Outage
Customer confused about the new billing policy on their last invoice.,None,N/A,Fix responsive layout,Provide better script for agents,None,Resolve API timeout,Feature Inquiry,App Crash,Account Lifecycle,Reporting/Analytics,SMS Gateway Delay,UI/UX Flaw
User mentions the website is too slow when loading reports.,None,N/A,Make buttons more prominent,Waive fee,Update FAQ section,Resolve API timeout,Account Management,Subscription Cancellation,Account Lifecycle,MFA/OTP,Hidden Cancellation Flow,UI/UX Flaw
Customer confused about the new billing policy on their last invoice.,None,N/A,Fix responsive layout,Escalate to L2 faster,Publish video tutorial,Optimize database query,Account Management,Double Charge,Application Stability,Subscription Management,CSV Export Broken,System Bug/Outage
User wants to cancel subscription but cannot find the button.,Low,Yes,Add tooltips,None,Email newsletter tip,Optimize database query,Billing/Payments,Subscription Cancellation,Application Stability,Subscription Management,Hidden Cancellation Flow,Third-party Failure
Customer didn't receive the OTP for login authentication.,High,N/A,Add tooltips,Waive fee,Publish video tutorial,Resolve API timeout,Billing/Payments,Double Charge,Transaction Processing,Reporting/Analytics,Hidden Cancellation Flow,System Bug/Outage
Payment got deducted twice for the same transaction.,None,Yes,Make buttons more prominent,Manual refund processing,Email newsletter tip,Fix null pointer exception,Feature Inquiry,Export Data,Application Stability,Subscription Management,SMS Gateway Delay,UI/UX Flaw
Customer confused about the new billing policy on their last invoice.,Medium,No,Simplify navigation menu,Waive fee,Email newsletter tip,Resolve API timeout,Account Management,App Crash,Account Lifecycle,MFA/OTP,Payment Gateway Timeout,Restrictive Policy
Customer confused about the new billing policy on their last invoice.,Medium,N/A,Make buttons more prominent,Waive fee,Send interactive guide,Fix null pointer exception,Billing/Payments,Password Reset,Account Lifecycle,MFA/OTP,CSV Export Broken,Restrictive Policy
Customer is unable to reset their password via the mobile app.,High,Yes,Fix responsive layout,Provide better script for agents,Send interactive guide,None,Technical Issue,Password Reset,Transaction Processing,Invoice Generation,Android Webview Crash,UI/UX Flaw
Customer didn't receive the OTP for login authentication.,Medium,Yes,Simplify navigation menu,None,Update FAQ section,Fix null pointer exception,Login/Access,Double Charge,Account Lifecycle,Subscription Management,Android Webview Crash,System Bug/Outage
User mentions the website is too slow when loading reports.,None,No,None,Waive fee,Email newsletter tip,Optimize database query,Billing/Payments,Export Data,Workflow/Usability,Subscription Management,SMS Gateway Delay,Restrictive Policy
Customer is unable to reset their password via the mobile app.,None,Yes,Add tooltips,None,Send interactive guide,Resolve API timeout,Technical Issue,Export Data,Application Stability,Invoice Generation,CSV Export Broken,User Error/Knowledge Gap
User cannot find the 'Export Data' option in the new interface.,High,N/A,None,None,Send interactive guide,None,Feature Inquiry,Double Charge,Application Stability,Mobile App Issues,SMS Gateway Delay,UI/UX Flaw
App crashes immediately upon opening on Android 13.,None,No,Fix responsive layout,Waive fee,None,Optimize database query,Feature Inquiry,Password Reset,Application Stability,Subscription Management,CSV Export Broken,Third-party Failure
Customer didn't receive the OTP for login authentication.,High,N/A,None,Provide better script for agents,Email newsletter tip,Optimize database query,Technical Issue,Export Data,Authentication,Subscription Management,SMS Gateway Delay,Third-party Failure
User mentions the website is too slow when loading reports.,Low,Yes,Add tooltips,None,Send interactive guide,Fix null pointer exception,Feature Inquiry,Double Charge,Authentication,Invoice Generation,SMS Gateway Delay,Restrictive Policy
Payment got deducted twice for the same transaction.,Medium,N/A,Fix responsive layout,Waive fee,Email newsletter tip,None,Account Management,Subscription Cancellation,Workflow/Usability,Invoice Generation,Android Webview Crash,Third-party Failure
Customer is unable to reset their password via the mobile app.,High,Yes,Simplify navigation menu,Escalate to L2 faster,Email newsletter tip,Resolve API timeout,Technical Issue,Double Charge,Account Lifecycle,Mobile App Issues,Android Webview Crash,Third-party Failure
User cannot find the 'Export Data' option in the new interface.,High,N/A,None,Provide better script for agents,Send interactive guide,Fix timezone bug,Feature Inquiry,Subscription Cancellation,Account Lifecycle,Subscription Management,SMS Gateway Delay,User Error/Knowledge Gap
User wants to cancel subscription but cannot find the button.,High,N/A,Simplify navigation menu,None,Update FAQ section,None,Login/Access,Double Charge,Workflow/Usability,MFA/OTP,SMS Gateway Delay,User Error/Knowledge Gap
Payment got deducted twice for the same transaction.,Low,Yes,None,Escalate to L2 faster,None,None,Technical Issue,App Crash,Account Lifecycle,Subscription Management,Android Webview Crash,Third-party Failure
Customer confused about the new billing policy on their last invoice.,Low,Yes,Fix responsive layout,Provide better script for agents,Send interactive guide,Fix timezone bug,Login/Access,Password Reset,Application Stability,Mobile App Issues,CSV Export Broken,Third-party Failure
